City_ID,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date,description
228,Anadyr,64.75,177.4833,3.2,78,75,6.71,RU,2021-01-22 01:01:05,light snow
229,Ola,59.5833,151.2833,-5.62,76,87,5.79,RU,2021-01-22 01:01:06,overcast clouds
230,Krasnoselkup,65.7,82.4667,-43.69,79,37,9.6,RU,2021-01-22 01:01:06,scattered clouds
231,Ust-Omchug,61.15,149.6333,-24.39,66,0,3.49,RU,2021-01-22 01:01:06,clear sky
232,Pevek,69.7008,170.3133,-18.9,86,100,2.26,RU,2021-01-22 01:01:06,overcast clouds
233,Carnarvon,-24.8667,113.6333,80.6,83,75,13.8,AU,2021-01-22 01:01:06,broken clouds
234,Waitati,-45.75,170.5667,62.49,54,98,3.42,NZ,2021-01-22 00:57:38,overcast clouds
235,Concarneau,47.875,-3.9225,41.0,100,90,4.25,FR,2021-01-22 00:58:18,mist
236,Batagay-Alyta,67.8006,130.4114,-25.91,84,100,1.79,RU,2021-01-22 01:01:07,overcast clouds
237,Tuyen Quang,21.8233,105.2181,65.23,71,82,1.12,VN,2021-01-22 01:01:07,broken clouds
238,Padre Bernardo,-15.35,-48.5,69.75,75,0,4.0,BR,2021-01-22 01:01:07,clear sky
239,Kulhudhuffushi,6.6221,73.07,82.08,70,52,4.05,MV,2021-01-22 01:01:07,broken clouds
240,Dwarka,22.2394,68.9678,66.87,85,0,7.27,IN,2021-01-22 01:01:08,clear sky
241,Srednekolymsk,67.45,153.6833,-41.21,81,23,3.15,RU,2021-01-22 01:01:08,few clouds
242,Salalah,17.0151,54.0924,68.0,64,0,2.3,OM,2021-01-22 01:01:08,clear sky
243,Wasilla,61.5814,-149.4394,37.4,60,75,12.66,US,2021-01-22 01:01:08,broken clouds
244,San Isidro,-12.1167,-77.05,71.6,78,0,13.8,PE,2021-01-22 01:01:08,clear sky
245,Papara,-3.9839,-38.7273,81.0,83,40,8.05,BR,2021-01-22 01:01:09,scattered clouds
246,Bahia De Caraquez,-0.6,-80.4167,80.6,78,75,3.44,EC,2021-01-22 01:01:09,broken clouds
247,Brae,60.3964,-1.353,41.0,81,75,20.71,GB,2021-01-22 01:01:09,broken clouds
248,Tual,-5.6667,132.75,83.84,72,71,3.49,ID,2021-01-22 01:01:09,broken clouds
249,Porto Novo,6.4965,2.6036,80.6,89,20,5.75,BJ,2021-01-22 01:01:10,few clouds
250,Qaqortoq,60.7167,-46.0333,24.8,50,0,2.91,GL,2021-01-22 01:01:10,clear sky
251,Beaufort,5.3473,115.7455,77.0,94,20,2.37,MY,2021-01-22 01:01:10,few clouds
252,Iquique,-20.2208,-70.1431,69.8,68,0,20.71,CL,2021-01-22 00:58:27,clear sky
253,Ovalle,-30.5983,-71.2003,63.39,65,18,1.97,CL,2021-01-22 01:01:11,few clouds
254,Doha,25.2867,51.5333,59.0,58,0,12.66,QA,2021-01-22 01:00:19,clear sky
255,Havoysund,70.9963,24.6622,14.0,67,0,17.27,NO,2021-01-22 01:01:11,clear sky
256,Suicheng,33.8963,117.9331,45.03,77,100,5.77,CN,2021-01-22 01:01:11,light rain
257,Kununurra,-15.7667,128.7333,75.2,100,90,13.8,AU,2021-01-22 01:01:11,moderate rain
258,Green River,41.5286,-109.4662,30.2,80,90,4.0,US,2021-01-22 01:01:11,overcast clouds
259,Igarka,67.4667,86.5833,-42.7,75,0,6.04,RU,2021-01-22 01:01:12,clear sky
260,Bairiki,1.3292,172.9752,75.2,100,90,8.05,KI,2021-01-22 01:01:12,light rain
261,Puerto Escondido,15.85,-97.0667,80.6,74,20,3.13,MX,2021-01-22 01:01:12,few clouds
262,Butaritari,3.0707,172.7902,79.97,80,39,13.2,KI,2021-01-22 01:01:13,moderate rain
263,Gualaceo,-2.9,-78.7833,60.8,72,67,4.61,EC,2021-01-22 01:01:13,broken clouds
264,Cockburn Town,21.4612,-71.1419,75.2,78,40,9.22,TC,2021-01-22 00:56:59,scattered clouds
265,Shuyskoye,59.3736,41.0305,-6.86,90,100,4.38,RU,2021-01-22 01:01:13,light snow
266,Mangaluru,12.8667,74.8833,75.2,88,0,4.61,IN,2021-01-22 00:59:04,mist
267,Aswan,24.0934,32.907,50.74,74,0,12.12,EG,2021-01-22 01:01:14,clear sky
268,Porto Belo,-27.1578,-48.5531,71.6,94,75,9.69,BR,2021-01-22 01:01:14,broken clouds
269,Praia Da Vitoria,38.7333,-27.0667,62.6,88,20,5.01,PT,2021-01-22 01:01:14,few clouds
270,Abu Kamal,34.4506,40.9171,38.77,68,17,6.15,SY,2021-01-22 01:01:14,few clouds
271,Santiago,-33.4569,-70.6483,69.8,64,0,11.5,CL,2021-01-22 00:57:20,clear sky
272,Qasigiannguit,68.8193,-51.1922,19.4,49,20,3.44,GL,2021-01-22 01:01:14,few clouds
273,Flinders,-34.5833,150.8552,88.0,37,0,6.91,AU,2021-01-22 00:58:55,clear sky
274,Bredasdorp,-34.5322,20.0403,69.8,88,41,6.91,ZA,2021-01-22 01:01:15,scattered clouds
275,Viransehir,37.2353,39.7631,33.42,75,99,4.72,TR,2021-01-22 01:01:15,overcast clouds
276,Kalangala,-0.3089,32.225,71.87,72,54,2.53,UG,2021-01-22 01:01:15,light rain
277,Mayenne,48.3333,-0.6667,41.0,93,0,4.85,FR,2021-01-22 01:01:15,light rain
278,Kieta,-6.2167,155.6333,85.64,56,87,9.06,PG,2021-01-22 01:01:16,overcast clouds
279,Sembakung,3.8167,117.25,79.07,87,99,1.57,ID,2021-01-22 01:01:16,overcast clouds
280,Pyay,18.8167,95.2167,64.35,78,7,4.41,MM,2021-01-22 01:01:16,clear sky
281,Mitsamiouli,-11.3847,43.2844,82.76,78,87,14.99,KM,2021-01-22 01:01:16,overcast clouds
282,Ketchikan,55.3422,-131.6461,35.6,80,40,9.22,US,2021-01-22 01:01:16,scattered clouds
283,Nishihara,26.1842,127.7558,68.0,94,75,14.97,JP,2021-01-22 01:01:16,broken clouds
284,Xinan,26.72,119.8556,62.33,80,41,4.05,CN,2021-01-22 01:01:17,scattered clouds
285,Yining,29.0361,114.5636,52.16,86,97,1.5,CN,2021-01-22 01:01:17,overcast clouds
286,Peniche,39.3558,-9.3811,59.0,84,98,21.0,PT,2021-01-22 01:01:17,overcast clouds
287,Azul,-36.777,-59.8585,80.01,51,0,5.99,AR,2021-01-22 00:58:14,clear sky
288,Narsaq,60.9167,-46.05,24.8,50,0,3.89,GL,2021-01-22 01:01:17,clear sky
289,Los Llanos De Aridane,28.6585,-17.9182,68.0,77,90,10.36,ES,2021-01-22 01:01:18,overcast clouds
290,Pregradnaya,43.9508,41.1994,20.03,85,0,5.99,RU,2021-01-22 01:01:18,clear sky
291,Sao Jose Do Calcado,-21.0253,-41.6544,68.14,93,18,2.57,BR,2021-01-22 01:01:18,few clouds
292,Grindavik,63.8424,-22.4338,28.4,80,75,25.32,IS,2021-01-22 01:01:18,broken clouds
293,Tiksi,71.6872,128.8694,-32.3,83,100,18.79,RU,2021-01-22 01:00:40,overcast clouds
294,Bathsheba,13.2167,-59.5167,77.0,83,20,9.22,BB,2021-01-22 01:01:08,few clouds
295,Sept-Iles,50.2001,-66.3821,10.4,61,100,8.05,CA,2021-01-22 01:01:19,overcast clouds
296,Imbituba,-28.24,-48.6703,71.6,94,75,4.61,BR,2021-01-22 01:01:19,moderate rain
297,Tashigang,27.3331,91.5542,43.52,60,0,5.28,BT,2021-01-22 01:01:20,clear sky
298,Kuching,1.55,110.3333,78.8,89,20,4.61,MY,2021-01-22 01:01:20,few clouds
299,Havre-Saint-Pierre,50.2334,-63.5986,-2.2,84,1,6.91,CA,2021-01-22 01:01:20,clear sky
300,Huarmey,-10.0681,-78.1522,70.54,82,100,8.88,PE,2021-01-22 01:01:20,overcast clouds
301,Bengkulu,-3.8004,102.2655,77.4,80,96,4.41,ID,2021-01-22 01:00:58,overcast clouds
302,Teknaf,20.8624,92.3058,63.75,81,0,4.32,BD,2021-01-22 01:01:21,clear sky
303,Airai,-8.9266,125.4092,71.62,82,43,3.02,TL,2021-01-22 01:01:21,scattered clouds
304,Olafsvik,64.8945,-23.7142,28.83,90,25,25.48,IS,2021-01-22 01:01:21,scattered clouds
305,Ajdabiya,30.7554,20.2263,50.0,51,100,10.33,LY,2021-01-22 01:01:21,overcast clouds
306,Shahr-E Kord,32.3256,50.8644,12.2,79,0,2.3,IR,2021-01-22 01:01:21,clear sky
307,Naron,43.5167,-8.1528,52.0,87,40,16.11,ES,2021-01-22 01:01:22,scattered clouds
308,Chegdomyn,51.1167,133.0167,-19.71,84,43,0.27,RU,2021-01-22 01:01:22,scattered clouds
309,Coracora,-15.0333,-73.7833,50.38,78,100,1.97,PE,2021-01-22 01:01:22,light rain
310,Soyo,-6.1349,12.3689,79.34,82,100,6.85,AO,2021-01-22 01:01:22,overcast clouds
311,Izumo,35.3667,132.7667,44.6,100,75,4.61,JP,2021-01-22 01:01:23,light rain
312,Kanigoro,-8.13,112.219,81.57,68,100,0.4,ID,2021-01-22 01:01:23,overcast clouds
313,Nouna,12.7333,-3.8667,67.96,22,0,8.79,BF,2021-01-22 01:01:23,clear sky
314,Sapa,5.1544,120.3241,81.88,74,87,2.01,PH,2021-01-22 01:01:23,overcast clouds
315,Vostok,46.4856,135.8833,-1.48,86,0,4.36,RU,2021-01-22 01:01:23,clear sky
316,Grand Gaube,-20.0064,57.6608,77.0,82,32,3.0,MU,2021-01-22 01:01:14,scattered clouds
317,Chifeng,42.2683,118.9636,9.88,86,0,2.13,CN,2021-01-22 01:01:24,clear sky
318,Rio Grande,-32.035,-52.0986,73.0,78,90,4.0,BR,2021-01-22 01:01:24,overcast clouds
319,Codrington,-38.2667,141.9667,69.21,52,100,10.63,AU,2021-01-22 01:01:24,overcast clouds
320,Akita,39.7167,140.1167,37.4,100,75,4.61,JP,2021-01-22 01:01:25,broken clouds
321,Westport,41.1415,-73.3579,35.6,51,1,6.4,US,2021-01-22 01:00:04,clear sky
322,Arraial Do Cabo,-22.9661,-42.0278,77.0,88,0,11.5,BR,2021-01-22 01:01:25,clear sky
323,Kamenka,51.3223,42.7678,24.4,98,100,9.08,RU,2021-01-22 01:01:25,snow
324,Sao Miguel Do Araguaia,-13.275,-50.1628,75.11,76,96,0.89,BR,2021-01-22 01:01:25,overcast clouds
325,Almeirim,-1.5233,-52.5817,73.87,93,93,3.47,BR,2021-01-22 01:01:26,light rain
326,Bembereke,10.2283,2.6634,67.75,23,7,6.91,BJ,2021-01-22 01:01:26,clear sky
327,Rudnichnyy,59.617,52.4703,-10.03,91,91,3.44,RU,2021-01-22 01:01:26,overcast clouds
328,Hasaki,35.7333,140.8333,46.0,60,20,5.75,JP,2021-01-22 01:01:26,few clouds
329,Baglung,28.2719,83.5898,46.94,66,16,3.15,NP,2021-01-22 01:01:26,few clouds
330,Rafai,4.95,23.9167,64.36,40,82,2.8,CF,2021-01-22 01:01:27,broken clouds
331,Moa,20.6569,-74.9403,74.16,85,100,11.56,CU,2021-01-22 01:01:27,overcast clouds
332,Preobrazheniye,42.9019,133.9064,27.45,81,14,4.32,RU,2021-01-22 01:01:27,few clouds
333,Eureka,40.8021,-124.1637,53.01,79,0,7.94,US,2021-01-22 00:57:11,clear sky
334,Morondava,-20.2833,44.2833,83.08,69,100,10.98,MG,2021-01-22 01:01:27,overcast clouds
335,Pozo Colorado,-23.4923,-58.7972,79.11,72,0,5.03,PY,2021-01-22 01:01:28,clear sky
336,Menomonie,44.8755,-91.9193,19.4,52,1,21.85,US,2021-01-22 01:01:28,clear sky
337,Coquimbo,-29.9533,-71.3436,62.6,77,40,13.8,CL,2021-01-22 01:00:39,scattered clouds
338,Daru,-9.0763,143.2092,83.32,75,91,5.44,PG,2021-01-22 01:01:28,overcast clouds
339,Gigmoto,13.7796,124.39,82.94,73,91,8.66,PH,2021-01-22 01:01:29,overcast clouds
340,Songea,-10.6833,35.65,64.49,100,100,3.33,TZ,2021-01-22 01:01:29,overcast clouds
341,Atambua,-9.1061,124.8925,79.93,76,75,3.67,ID,2021-01-22 01:01:29,broken clouds
342,Ancud,-41.8697,-73.8203,68.0,77,0,4.61,CL,2021-01-22 01:01:29,clear sky
343,Bonavista,48.6499,-53.1147,30.0,93,100,8.05,CA,2021-01-22 01:01:29,snow
344,Hay River,60.8156,-115.7999,-2.2,78,100,1.14,CA,2021-01-22 01:00:07,overcast clouds
345,Aden,12.7794,45.0367,75.11,69,93,11.25,YE,2021-01-22 01:01:30,overcast clouds
346,Kangaatsiaq,68.3065,-53.4641,15.48,83,100,6.33,GL,2021-01-22 01:01:30,overcast clouds
347,Noyabrsk,63.1994,75.4507,-30.96,83,99,15.39,RU,2021-01-22 01:01:30,overcast clouds
348,Souillac,-20.5167,57.5167,77.0,88,40,2.3,MU,2021-01-22 01:01:31,scattered clouds
349,Gat,31.61,34.7642,46.99,73,0,4.54,IL,2021-01-22 01:00:55,clear sky
350,Pemba,-12.974,40.5178,78.8,94,90,10.36,MZ,2021-01-22 01:01:31,light rain
351,La Tuque,47.4334,-72.7824,12.2,79,100,4.61,CA,2021-01-22 01:01:31,light snow
352,Westerland,54.9079,8.3033,42.01,87,90,19.57,DE,2021-01-22 01:01:31,overcast clouds
353,Oxapampa,-10.5775,-75.4017,58.77,90,60,1.21,PE,2021-01-22 01:01:32,light rain
354,Liverpool,53.4106,-2.9779,41.0,87,40,12.66,GB,2021-01-22 00:56:58,scattered clouds
355,Erenhot,43.6475,111.9767,7.45,89,0,5.7,CN,2021-01-22 01:01:33,clear sky
356,Hambantota,6.1241,81.1185,75.81,88,15,10.8,LK,2021-01-22 01:01:25,few clouds
357,Tautira,-17.7333,-149.15,86.0,58,75,5.75,PF,2021-01-22 01:01:33,light rain
358,Nabire,-3.3667,135.4833,85.86,66,99,3.78,ID,2021-01-22 01:01:33,overcast clouds
359,Mackenzie,55.2999,-123.1698,15.8,92,90,2.3,CA,2021-01-22 01:01:34,overcast clouds
360,Talnakh,69.4865,88.3972,-40.99,78,0,2.53,RU,2021-01-22 01:01:34,clear sky
361,Kamaishi,39.2667,141.8833,33.8,93,75,4.61,JP,2021-01-22 01:01:34,mist
362,Saposoa,-6.934,-76.7716,82.4,69,75,3.44,PE,2021-01-22 01:01:34,moderate rain
363,Tongzi,28.7829,105.0877,47.19,84,99,2.19,CN,2021-01-22 01:01:34,overcast clouds
364,Buluang,13.3068,123.3425,81.64,81,17,4.36,PH,2021-01-22 01:01:34,few clouds
365,Butembo,0.15,29.2833,59.07,83,43,2.8,CD,2021-01-22 01:01:35,scattered clouds
366,Pontianak,-0.0333,109.3333,79.99,80,97,1.99,ID,2021-01-22 01:01:35,overcast clouds
367,Maldonado,-34.6667,-54.9167,73.4,83,0,10.36,UY,2021-01-22 01:01:35,clear sky
368,Zarechnyy,53.2036,45.1923,15.01,58,100,5.12,RU,2021-01-22 01:01:35,overcast clouds
369,Quatre Cocos,-20.2078,57.7625,77.0,88,40,2.3,MU,2021-01-22 01:01:36,scattered clouds
370,Kronshtadt,59.9936,29.7736,16.0,86,90,11.18,RU,2021-01-22 01:01:36,light snow
371,Deputatskiy,69.3,139.9,-31.07,85,100,3.6,RU,2021-01-22 01:00:59,overcast clouds
372,The Valley,18.217,-63.0578,77.0,83,20,4.61,AI,2021-01-22 01:01:36,few clouds
373,Mughal Sarai,25.3,83.1167,50.0,100,90,4.81,IN,2021-01-22 01:01:37,fog
374,Lufilufi,-13.8745,-171.5986,87.8,79,75,8.05,WS,2021-01-22 01:01:37,moderate rain
375,Vanderhoof,54.0166,-124.0198,14.09,95,100,1.43,CA,2021-01-22 01:00:05,overcast clouds
376,Ribeira Grande,38.5167,-28.7,59.54,69,100,8.05,PT,2021-01-22 01:01:09,overcast clouds
377,Padang,-0.9492,100.3543,79.7,67,99,3.09,ID,2021-01-22 01:01:37,overcast clouds
378,Kolokani,13.5728,-8.0339,69.78,21,100,11.5,ML,2021-01-22 01:01:38,overcast clouds
379,Araouane,18.9048,-3.5265,62.98,23,20,12.93,ML,2021-01-22 01:01:38,few clouds
380,Corrente,-3.7367,-43.3394,73.22,97,100,2.42,BR,2021-01-22 01:01:38,overcast clouds
381,Sabla,12.7525,4.7077,66.83,23,0,14.47,NG,2021-01-22 01:01:38,clear sky
382,Sao Joao Da Barra,-21.6403,-41.0511,75.76,86,2,7.81,BR,2021-01-22 01:01:39,clear sky
383,Muros,42.7762,-9.0603,53.01,79,100,5.99,ES,2021-01-22 01:01:39,light rain
384,Joensuu,62.6012,29.7632,12.0,85,90,18.41,FI,2021-01-22 01:01:39,snow
385,Hualmay,-11.0964,-77.6139,70.86,80,68,9.91,PE,2021-01-22 01:01:39,broken clouds
386,Mpika,-11.8343,31.4529,61.68,98,100,5.59,ZM,2021-01-22 01:01:39,light rain
387,Haines Junction,60.7522,-137.5108,-4.0,84,0,0.51,CA,2021-01-22 01:01:39,clear sky
388,Tura,25.5198,90.2201,54.64,65,0,3.22,IN,2021-01-22 01:01:40,clear sky
389,Nelson Bay,-32.7167,152.15,87.01,54,20,9.22,AU,2021-01-22 01:01:40,few clouds
390,Alofi,-19.0595,-169.9187,86.0,74,0,10.36,NU,2021-01-22 01:00:45,clear sky
391,Portland,45.5234,-122.6762,46.4,70,75,3.44,US,2021-01-22 01:01:40,broken clouds
392,Zuenoula,7.4292,-6.0431,73.83,78,0,4.5,CI,2021-01-22 01:01:40,clear sky
393,Sabha,27.0377,14.4283,46.35,51,0,9.82,LY,2021-01-22 01:01:30,clear sky
394,Springbok,-29.6643,17.8865,77.02,18,84,2.98,ZA,2021-01-22 01:01:41,broken clouds
395,Patnos,39.2336,42.8634,-3.82,69,0,1.57,TR,2021-01-22 01:01:41,clear sky
396,Cervignano Del Friuli,45.8211,13.3381,48.2,100,90,4.61,IT,2021-01-22 01:01:41,mist
397,Colares,38.7992,-9.4469,60.01,100,92,24.0,PT,2021-01-22 01:01:16,overcast clouds
398,Refojos De Basto,41.5132,-7.9952,51.01,90,100,8.99,PT,2021-01-22 01:01:42,overcast clouds
399,Simpang,-1.2667,104.0833,78.03,90,100,2.82,ID,2021-01-22 01:01:42,light rain
400,Tutoia,-2.7619,-42.2744,78.55,85,100,9.91,BR,2021-01-22 01:01:42,moderate rain
401,Manggar,-2.8833,108.2667,80.8,79,31,9.6,ID,2021-01-22 01:01:42,light rain
402,Buchach,49.0625,25.388,37.99,82,93,10.09,UA,2021-01-22 01:01:43,overcast clouds
403,Clevelandia,-26.3958,-52.4708,65.12,88,100,8.68,BR,2021-01-22 01:01:43,moderate rain
404,Garowe,8.4054,48.4845,67.48,82,3,7.92,SO,2021-01-22 01:01:43,clear sky
405,Ajaccio,42.0,8.9167,57.2,88,90,14.97,FR,2021-01-22 01:00:58,overcast clouds
406,Mayumba,-3.432,10.6554,78.67,86,100,6.69,GA,2021-01-22 01:01:43,moderate rain
407,Kita,13.0349,-9.4895,71.47,20,100,6.42,ML,2021-01-22 01:01:44,overcast clouds
408,Tigil,57.8,158.6667,-14.69,88,0,1.52,RU,2021-01-22 01:01:44,clear sky
409,Pandan,14.0453,124.1694,83.21,72,100,6.29,PH,2021-01-22 01:01:44,overcast clouds
410,Lamar,33.6668,-95.5836,51.01,93,90,5.75,US,2021-01-22 01:01:44,overcast clouds
411,Leningradskiy,69.3833,178.4167,-13.16,87,100,9.82,RU,2021-01-22 01:01:44,overcast clouds
412,Ambilobe,-13.2,49.05,74.01,94,100,1.23,MG,2021-01-22 01:01:44,overcast clouds
413,Camana,-16.6228,-72.7111,71.47,77,86,8.72,PE,2021-01-22 01:01:45,overcast clouds
414,Chatham,51.3789,0.5279,41.0,84,0,5.99,GB,2021-01-22 01:00:18,clear sky
415,Ati,13.2154,18.3353,61.75,29,0,13.42,TD,2021-01-22 01:01:45,clear sky
416,Necochea,-38.5473,-58.7368,75.0,64,0,5.99,AR,2021-01-22 01:01:45,clear sky
417,Kodinsk,58.6881,99.1844,-18.0,86,100,3.56,RU,2021-01-22 01:01:45,light snow
418,Diamantino,-14.4086,-56.4461,73.33,86,100,2.55,BR,2021-01-22 01:01:46,moderate rain
419,Fairbanks,64.8378,-147.7164,8.6,78,20,4.61,US,2021-01-22 00:57:34,few clouds
420,Stuttgart,48.7823,9.177,50.0,66,40,13.8,DE,2021-01-22 01:01:34,scattered clouds
421,Nizhniy Odes,63.6445,54.856,-10.52,90,100,4.83,RU,2021-01-22 01:01:46,overcast clouds
422,La Ronge,55.1001,-105.2842,12.2,79,99,9.22,CA,2021-01-22 01:01:46,overcast clouds
423,Mersing,2.4312,103.8405,73.4,94,40,4.61,MY,2021-01-22 01:01:47,scattered clouds
424,Nanakuli,21.3906,-158.1547,82.4,51,40,10.36,US,2021-01-22 01:01:47,scattered clouds
425,Touros,-5.1989,-35.4608,78.8,78,0,5.75,BR,2021-01-22 01:01:47,clear sky
426,Yakeshi,49.2833,120.7333,-9.47,89,37,4.5,CN,2021-01-22 00:58:32,scattered clouds
427,Minot,48.2325,-101.2963,14.0,62,90,17.27,US,2021-01-22 01:01:48,overcast clouds
428,Okhotsk,59.3833,143.3,-10.05,83,100,12.12,RU,2021-01-22 01:01:48,overcast clouds
429,Baker City,44.7749,-117.8344,35.6,80,90,3.44,US,2021-01-22 01:01:48,light snow
430,Jaumave,23.4167,-99.3833,77.0,65,1,20.71,MX,2021-01-22 01:01:48,clear sky
431,Payette,44.0782,-116.9338,35.6,80,90,4.61,US,2021-01-22 01:01:48,light snow
432,Inuvik,68.3499,-133.7218,1.4,85,41,4.61,CA,2021-01-22 00:57:17,scattered clouds
433,Port-Cartier,50.0334,-66.8654,10.4,61,100,8.05,CA,2021-01-22 01:01:49,overcast clouds
434,Middelburg,-25.7751,29.4648,57.61,86,0,4.74,ZA,2021-01-22 01:01:49,clear sky
435,Kahului,20.8947,-156.47,80.6,54,40,24.16,US,2021-01-22 01:01:49,scattered clouds
436,Shingu,33.7333,135.9833,53.6,100,75,1.14,JP,2021-01-22 01:00:30,mist
437,Beringovskiy,63.05,179.3167,-0.65,92,100,7.74,RU,2021-01-22 01:01:50,light snow
438,Saint George,37.1041,-113.5841,60.8,33,1,4.61,US,2021-01-22 01:00:06,clear sky
439,Hayden,47.766,-116.7866,34.0,64,90,11.5,US,2021-01-22 01:01:50,overcast clouds
440,Boende,-0.2167,20.8667,73.44,73,81,0.92,CD,2021-01-22 01:01:50,broken clouds
441,Akim Swedru,5.8938,-1.0164,74.93,92,97,1.97,GH,2021-01-22 01:01:50,overcast clouds
442,Mbigou,-1.9005,11.906,67.23,97,7,1.77,GA,2021-01-22 01:01:50,clear sky
443,Puerto Narino,-3.7703,-70.3831,74.61,95,100,1.41,CO,2021-01-22 01:01:51,overcast clouds
444,Flin Flon,54.7682,-101.865,3.2,85,90,2.3,CA,2021-01-22 01:01:51,light snow
445,Balykshi,47.0667,51.8667,8.6,85,40,6.71,KZ,2021-01-22 01:01:51,mist
446,Ivdel,60.6911,60.4206,-17.27,86,100,8.37,RU,2021-01-22 01:01:51,overcast clouds
447,Grenville,12.1167,-61.6167,78.8,78,20,13.8,GD,2021-01-22 01:00:33,few clouds
448,Cleethorpes,53.5605,-0.0323,39.2,87,0,16.11,GB,2021-01-22 01:01:52,clear sky
449,Kupang,-10.1667,123.5833,83.61,75,99,10.25,ID,2021-01-22 01:01:52,overcast clouds
450,Luis Correia,-2.8792,-41.6669,79.3,82,100,12.28,BR,2021-01-22 01:01:52,overcast clouds
451,Pacific Grove,36.6177,-121.9166,53.01,85,100,4.0,US,2021-01-22 01:01:52,overcast clouds
452,Kavaratti,10.5669,72.642,81.46,74,20,10.22,IN,2021-01-22 01:01:52,few clouds
453,Portree,57.4129,-6.1942,37.99,86,100,11.01,GB,2021-01-22 01:01:53,overcast clouds
